nome,origem,historia,pokemons_usados,insignias_ou_titulos,habilidades,familia,aparicoes
"Giovanni,Viridian City,""Líder da Equipe Rocket e do Ginásio de Viridian, manipulador e calculista."",""Persian; Mewtwo (no passado)"",""Chefe da Equipe Rocket"",""Estratégia e comando"",""Não revelado"",""Kanto; Johto; Unova; especiais"""
"Jessie,Desconhecido,""Membro da Equipe Rocket, persistente e dramática."",""Wobbuffet; Seviper; Yanmega; Gourgeist; Dustox; Pumpkaboo"",""Agente da Equipe Rocket"",""Disfarces; atuação"",""Não revelado"",""Kanto até Journeys"""
"James,Desconhecido,""Membro da Equipe Rocket, gentil com Pokémon, mas criminoso relutante."",""Cacnea; Carnivine; Inkay; Yamask; Growlie; Mime Jr."",""Agente da Equipe Rocket"",""Empatia com Pokémon"",""Família rica"",""Kanto até Journeys"""
"Meowth,Desconhecido,""Pokémon falante membro da Equipe Rocket."",""Meowth"",""Agente da Equipe Rocket"",""Fala humana; disfarces"",""Nenhum"",""Kanto até Journeys"""
"Butch,Equipe Rocket,""Agente rival de Jessie e James."",""Mightyena; Hitmontop"",""Agente da Equipe Rocket"",""Operações secretas"",""Não revelado"",""Kanto; Johto"""
"Cassidy,Equipe Rocket,""Parceira de Butch, mais competente que Jessie."",""Raticate; Houndour"",""Agente da Equipe Rocket"",""Manipulação"",""Não revelado"",""Kanto; Johto"""
"Professor Sebastian,Equipe Rocket,""Cientista responsável por experimentos perigosos."",""Nenhum"",""Cientista da Equipe Rocket"",""Pesquisa genética"",""Não revelado"",""Johto"""
"Archie,Team Aqua,""Líder da Equipe Aqua, busca expandir os mares."",""Sharpedo; Walrein"",""Líder da Equipe Aqua"",""Comando marítimo"",""Não revelado"",""Hoenn"""
"Shelly,Team Aqua,""Admin da Equipe Aqua, leal a Archie."",""Carvanha"",""Admin Aqua"",""Estratégia"",""Não revelado"",""Hoenn"""
"Matt,Team Aqua,""Admin musculoso da Equipe Aqua."",""Sharpedo"",""Admin Aqua"",""Força física"",""Não revelado"",""Hoenn"""
"Maxie,Team Magma,""Líder da Equipe Magma, busca expandir a terra."",""Camerupt; Mightyena"",""Líder da Equipe Magma"",""Planejamento"",""Não revelado"",""Hoenn"""
"Tabitha,Team Magma,""Admin da Equipe Magma, braço direito de Maxie."",""Numel"",""Admin Magma"",""Lealdade"",""Não revelado"",""Hoenn"""
"Courtney,Team Magma,""Admin da Equipe Magma, calma e calculista."",""Camerupt"",""Admin Magma"",""Análise fria"",""Não revelado"",""Hoenn"""
"Cyrus,Team Galactic,""Líder da Equipe Galactic, deseja recriar o universo."",""Weavile; Honchkrow; Crobat"",""Líder da Equipe Galactic"",""Manipulação; frieza emocional"",""Não revelado"",""Sinnoh"""
"Mars,Team Galactic,""Admin impulsiva da Galactic."",""Purugly"",""Admin Galactic"",""Determinação"",""Não revelado"",""Sinnoh"""
"Jupiter,Team Galactic,""Admin séria e disciplinada."",""Skuntank"",""Admin Galactic"",""Estratégia"",""Não revelado"",""Sinnoh"""
"Saturn,Team Galactic,""Admin leal e frio."",""Toxicroak"",""Admin Galactic"",""Precisão"",""Não revelado"",""Sinnoh"""
"Ghetsis,Team Plasma,""Líder manipulador da Equipe Plasma."",""Hydreigon; Cofagrigus"",""Líder da Equipe Plasma"",""Manipulação psicológica"",""Pai adotivo de N"",""Unova"""
"Colress,Team Plasma,""Cientista que pesquisa o potencial dos Pokémon."",""Beheeyem; Magneton"",""Cientista Plasma"",""Tecnologia"",""Não revelado"",""Unova"""
"Alder (antagonista temporário),Unova,""Manipulado pela Plasma em certos episódios."",""Bouffalant"",""Campeão de Unova"",""Sabedoria"",""Neto"",""Unova"""
"Lysandre,Team Flare,""Líder da Equipe Flare, deseja 'purificar' o mundo."",""Pyroar; Gyarados (Mega)"",""Líder da Equipe Flare"",""Carisma; manipulação"",""Não revelado"",""Kalos"""
"Malva,Team Flare,""Ex-membro da Flare e Elite 4."",""Houndoom"",""Elite 4 / Flare"",""Fogo e mídia"",""Não revelado"",""Kalos"""
"Guzma,Team Skull,""Líder da Equipe Skull, rebelde e agressivo."",""Golisopod"",""Líder da Skull"",""Combate bruto"",""Pais não revelados"",""Alola"""
"Plumeria,Team Skull,""Admin da Skull, protetora dos recrutas."",""Salazzle"",""Admin Skull"",""Lealdade"",""Não revelado"",""Alola"""
"Chairman Rose,Galar,""Presidente da Macro Cosmos, antagonista em Galar."",""Copperajah (Gigantamax)"",""Presidente Macro Cosmos"",""Influência política"",""Secretária Oleana"",""Galar"""
"Oleana,Galar,""Secretária de Rose, extremamente leal."",""Garbodor (Gigantamax)"",""Executiva Macro Cosmos"",""Organização extrema"",""Não revelado"",""Galar"""
"Marnie (antagonista leve),Galar,""Rival de Galar apoiada pela Team Yell."",""Morpeko; Grimmsnarl"",""Ícone de Spikemuth"",""Determinação"",""Irmão: Piers"",""Galar"""
"Penny,Paldea,""Líder da Team Star, hacker talentosa."",""Umbreon; Flareon; Jolteon; Vaporeon; Sylveon; Leafeon"",""Líder da Team Star"",""Hacking"",""Pais ausentes"",""Horizons"""
"Atticus,Team Star,""Especialista em veneno e moda."",""Revavroom"",""Chefe Star"",""Costura"",""Não revelado"",""Paldea"""
"Ortega,Team Star,""Especialista em fada, herdeiro rico."",""Wigglytuff; Dachsbun"",""Chefe Star"",""Mecânica"",""Família rica"",""Paldea"""
"Eri,Team Star,""Especialista em lutadores, gentil e forte."",""Annihilape"",""Chefe Star"",""Treinamento físico"",""Não revelado"",""Paldea"""
"Giacomo,Team Star,""Especialista em trevas e DJ."",""Kingambit"",""Chefe Star"",""Música"",""Não revelado"",""Paldea"""
"Ritchie,Fuchsia City,""Treinador talentoso que enfrenta Ash na Liga Indigo."",""Pikachu (Sparky); Butterfree (Happy); Charmander (Zippo)"",""Participante da Liga Indigo"",""Disciplina e cuidado"",""Não revelado"",""Kanto"""
"A.J.,Kanto,""Treinador rigoroso que treina seu Sandshrew de forma extrema."",""Sandshrew"",""Treinador independente"",""Treinamento intensivo"",""Não revelado"",""Kanto"""
"Morrison,Hoenn,""Amigo e rival de Ash na Liga Hoenn."",""Beldum/Metang; Growlithe; Gligar"",""Participante da Liga Hoenn"",""Determinação"",""Não revelado"",""Hoenn"""
"Tyson,Hoenn,""Treinador que derrota Ash na Liga Hoenn."",""Meowth (de botas); Metagross; Sceptile"",""Participante da Liga Hoenn"",""Estratégia"",""Não revelado"",""Hoenn"""
"Katie,Hoenn,""Treinadora inteligente que enfrenta Ash na Liga Hoenn."",""Golduck; Venomoth; Dugtrio"",""Participante da Liga Hoenn"",""Análise tática"",""Não revelado"",""Hoenn"""
"Harrison,Johto,""Treinador de Hoenn que derrota Ash na Liga Johto."",""Blaziken; Houndoom; Sneasel"",""Participante da Liga Johto"",""Experiência"",""Não revelado"",""Johto"""
"Vincent,Johto,""Treinador que enfrenta Ash na Conferência Prateada."",""Meganium; Magneton"",""Participante da Liga Johto"",""Entusiasmo"",""Não revelado"",""Johto"""
"Conway,Sinnoh,""Treinador estrategista que enfrenta Ash na Liga Sinnoh."",""Shuckle; Lickilicky; Dusknoir"",""Participante da Liga Sinnoh"",""Estratégia avançada"",""Não revelado"",""Sinnoh"""
"Nando,Sinnoh,""Treinador e coordenador que participa da Liga Sinnoh."",""Roserade; Kricketune"",""Participante da Liga Sinnoh"",""Música e batalha"",""Não revelado"",""Sinnoh"""
"Tobias,Sinnoh,""Treinador misterioso que usa Pokémon lendários."",""Darkrai; Latios"",""Vencedor da Liga Sinnoh"",""Controle de lendários"",""Não revelado"",""Sinnoh"""
"Stephan,Unova,""Treinador energético que enfrenta Ash na Liga Unova."",""Zebstrika; Sawk"",""Participante da Liga Unova"",""Força física"",""Não revelado"",""Unova"""
"Virgil,Unova,""Treinador da Equipe Eevee que vence a Liga Unova."",""Eevee Squad (Umbreon, Espeon, Flareon, etc.)"",""Vencedor da Liga Unova"",""Treinamento de Eevees"",""Irmão: Davy"",""Unova"""
"Cameron,Unova,""Treinador confiante que derrota Ash na Liga Unova."",""Lucario; Ferrothorn; Swanna"",""Participante da Liga Unova"",""Intuição"",""Não revelado"",""Unova"""
"Sawyer,Hoenn,""Rival estudioso de Ash na Liga Kalos."",""Sceptile; Slurpuff; Aegislash"",""Participante da Liga Kalos"",""Análise tática"",""Não revelado"",""Kalos"""
"Alain,Kalos,""Treinador extremamente forte que derrota Ash na Liga Kalos."",""Charizard (Mega X); Bisharp; Metagross"",""Campeão da Liga Kalos"",""Mega Evolução"",""Trabalhou com Lysandre"",""Kalos"""
"Tierno,Kalos,""Treinador dançarino que participa da Liga Kalos."",""Blastoise; Talonflame"",""Participante da Liga Kalos"",""Dança e ritmo"",""Não revelado"",""Kalos"""
"Trevor,Kalos,""Treinador fotógrafo que participa da Liga Kalos."",""Charizard; Aerodactyl"",""Participante da Liga Kalos"",""Fotografia"",""Não revelado"",""Kalos"""
"Gladion,Alola,""Rival de Ash na Liga Alola."",""Lycanroc; Silvally"",""Finalista da Liga Alola"",""Disciplina"",""Família Aether"",""Alola"""
"Hau,Alola,""Treinador amigável que enfrenta Ash na Liga Alola."",""Decidueye"",""Participante da Liga Alola"",""Relaxamento e foco"",""Avô: Hala"",""Alola"""
"Kukui (como Royal Mask),Alola,""Criador da Liga Alola e oponente final de Ash."",""Incineroar; Lucario; Braviary"",""Organizador da Liga Alola"",""Combate profissional"",""Esposa: Burnet"",""Alola"""
"Marnie,Galar,""Treinadora apoiada pela Team Yell, rival de Galar."",""Morpeko; Grimmsnarl"",""Participante do Campeonato de Galar"",""Determinação"",""Irmão: Piers"",""Galar"""
"Hop,Galar,""Rival de Leon e participante do Campeonato de Galar."",""Wooloo; Corviknight; Zacian (temporário)"",""Participante do Campeonato de Galar"",""Treinamento intenso"",""Irmão: Leon"",""Galar"""
"Iono (como competidora),Paldea,""Líder de ginásio que participa de competições oficiais."",""Bellibolt"",""Participante de torneios regionais"",""Carisma online"",""Não revelado"",""Paldea"""
"Nemona,Paldea,""Treinadora prodígio que compete em torneios oficiais."",""Pawmot; Meowscarada; Quaquaval"",""Classe Mestre"",""Treinamento obsessivo"",""Pais não revelados"",""Paldea"""
